perfect,target
1,中共党员
1,中共党员
1,中共党员
1,党组书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,团委书记
,党委办公室秘书
,党委办公室副主任
1,团委书记
,党委办公室主任
,党委办公室主任
1,中共党员
1,中共党员
,党委副书记
1,中共党员
1,中共党员
1,党委书记
1,党委书记
1,党委委员
,团委科员
1,团委书记
1,党委书记
,党总支副书记
,党组成员
,党组副书记
,党组副书记
,党委副书记
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,党委委员
1,党委委员
1,党委委员
,党委副书记
1,纪委书记
1,党委委员
1,党委书记
1,纪委书记
1,党委委员
1,党委书记
1,党委书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,中央党校经济管理本科学习
1,党委书记
1,党委书记
,党委副书记
1,党委书记
1,纪委书记
,党委副书记
1,纪委书记
1,中共党员
1,党支部书记
1,党支部书记
,党组副书记
,党总支副书记
1,党委委员
1,党委委员
1,党委书记
1,党委书记
1,党委书记
1,党委书记
1,中共党员
1,纪委书记
1,党委委员
1,中共党员
1,中共党员
,市委副书记
1,党委书记
,党组成员
1,党组书记
1,党委委员
,党委副书记
1,中共党员
1,党委委员
1,党委委员
1,党委委员
1,党委委员
1,党委委员
1,党委委员
1,党委书记
1,党委委员
1,纪委书记
1,纪委委员
1,纪委书记
1,党委书记
1,党委书记
1,党委书记
1,党委书记
,党委副书记
1,党委委员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党群工作
1,中共党员
,党群办主任
1,党委书记
1,党委委员
1,党委书记
1,中共党员
1,中共党员
,党委办公室副主任
,党委副书记
1,中共党员
1,党总支书记
1,中共党员
1,党总支负责人
1,中共党员
1,党总支书记
1,中共党员
1,中共党员
1,团委干事
,团委副书记
1,团委书记
,机关党委副书记
,党办室副主任
1,团委书记
1,中共党员
,团委副书记
1,团委书记
1,党支部书记
,纪委副书记
1,党支部书记
1,中共党员
1,中共党员
1,中共党员
1,党委书记
,党委副书记
1,中共党员
1,中共党员
1,中共党员
1,党支部书记
1,党委书记
1,中共党员
,党支部副书记
1,党支部书记
1,支部书记
1,中共党员
1,中共党员
1,党委书记
1,中共党员
1,党委书记
1,中共党员
1,中共党员
1,中共党员
,党组成员
1,团委书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,党委书记
1,党委书记
1,党委书记
1,中共党员
1,党支部书记
,纪委副处级纪检监察员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,党委副书记
1,党委委员
1,党委书记
1,中共党员
1,党委委员
1,中共党员
1,党委委员
1,党委委员
1,中共党员
,党校大学学历
,党组成员
,党组副书记
1,中共党员
1,党委书记
,党委办公室主任
,党委副书记
1,党委书记
1,党组书记
1,党委书记
1,中共党员
,党校大学学历
1,中共党员
1,中共党员
1,党委书记
1,中共党员
,党委副书记
1,中共党员
,党委副书记
1,中共党员
1,中共党员
1,党委书记
1,党委委员
,党委副书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党支部书记
1,中共党员
1,中共党员
1,中共党员
1,党委书记
,中共十六大代表
1,中共党员
,党委副书记
1,党委书记
1,中共党员
1,中共党员
,党委副书记
1,纪委书记
,党委副书记
1,党总支书记
1,中共党员
1,中共党员
1,中共党员
1,党委委员
1,党委书记
1,中共党员
1,中共党员
1,纪委委员
1,中共党员
,党委办公室主任
1,团委书记
1,中共党员
1,党委委员
1,共产党党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,党支部支部书记
,党总支任命为朝阳区司法局第三联合党支部支部书记
1,支部书记
1,中共党员
1,党支部书记
,共产党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,中共党员
1,中共党员
1,中共党员
,省委参政议政调研员
1,中共党员
1,中共党员
,党委副书记
,党组副书记
1,纪委书记
,党委副书记
1,纪委书记
,党委副书记
1,纪委书记
1,中共党员
1,中共党员
1,中共党员
,党委副书记
,党委副书记
,党委副书记
1,党委书记
1,党委书记
1,党委书记
1,党委书记
1,党委书记
1,中共党员
1,市委书记
,区委副书记
,市委市政府副秘书
1,县委书记
1,县委书记
1,中共党员
1,中共党员
1,党委书记
1,中共党员
1,中共党员
1,党委书记
1,中共党员
1,中共党员
1,党委委员
1,党组书记
1,中共党员
,党组成员
1,党总支书记
1,中共党员
,加入中国共产党
1,党委委员
,党委副书记
,党组成员
1,中共党员
1,中共党员
1,中共党员
1,团委书记
1,中共党员
1,中共党员
,党组成员
,党委副书记
,党委副书记
1,党委委员
1,中共党员
1,党委书记
,党委副书记
,党委副书记
1,党委委员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党支部书记
1,党委书记
1,中共党员
,团委任副书记
,党委办公室主任
,党委副书记
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,中共党员
1,纪委书记
1,党总支书记
1,中共党员
1,党支部书记
1,中共党员
,团委副书记
,团委副书记
1,党支部书记
,党委副书记
1,团委书记
,党委副书记
1,纪委书记
1,党委书记
1,中共党员
,团委副书记
,党支部副书记
,党委组织部部长
1,纪委书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党委委员
,党委宣传部副部长
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,中共党员
1,中共党员
1,中共党员
,党委副书记
1,中共党员
,党委副书记
1,中共党员
1,党委委员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党委书记
,党委副书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,党委副书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,党委副书记
,党委副书记
1,中共党员
,纪委组织部副部长
,纪委监委组织部副部长
1,党委委员
1,纪委书记
1,团委书记
,党政办公室副主任
,团委副书记
,党校中青二班学习
,省委党校中青二班学习
,党委副书记
1,纪委书记
1,中共党员
,党委副书记
1,中共党员
,党委办副主任
1,党委书记
1,党委书记
1,党委书记
,中共预备党员
,中共南通市注册会计师行业党委副书记
,党委副书记
1,纪委书记
1,党委书记
1,党委书记
1,党委书记
1,党委书记
1,中共党员
1,中共党员
1,中共党员
1,党总支书记
1,党委委员
1,中共党员
1,党委书记
,党委副书记
1,党委书记
1,中共党员
1,中共党员
,团委副书记
1,纪委书记
1,中共党员
1,党支部书记
1,中共党员
1,中共党员
1,中共党员
1,党委委员
1,中共党员
,党委副书记
1,中共党员
,中央党校函授本科学历
,纪委副书记
1,纪委书记
,纪委副书记
1,纪委书记
1,中共党员
1,党支部书记
1,支部书记
1,中共党员
1,中共党员
1,党办主任
1,中共党员
1,党委书记
1,党委书记
1,中共党员
,党代会党代表
1,中共党员
1,党委书记
,党委副书记
1,党工委委员
,中共宁波市委党校经济教研室教员
,党校经济教研室教员
,市委党校经济教研室教员
1,党委委员
,团委副书记
1,团委书记
,毕业于中央党校
1,中共党员
1,党委委员
1,中共党员
1,党委书记
1,党委委员
,党委副书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,党总支副书记
1,中共党员
1,中共党员
1,党委委员
1,中共党员
,中共预备党员
1,中共党员
,纪委副书记
,中共海南省委组织部工作
,省委组织部工作
1,党支部书记
1,党支部书记
1,党委委员
1,党支部书记
1,党委委员
1,党委委员
1,党委书记
1,党委书记
,纪委副书记
1,党委书记
1,中共党员
1,中共党员
,中共预备党员
1,中共党员
1,党支部书记
1,中共党员
1,中共党员
1,党总支书记
1,中共党员
1,党委书记
1,党委书记
1,中共党员
1,支部书记
1,党总支书记
1,中共党员
1,中共党员
1,中共党员
,共产党员
1,党支部书记
1,中共党员
,党委副书记
1,纪委书记
1,中共党员
,党委副书记
1,中共党员
1,中共党员
,主管并兼任党委
,党务工会主管
1,中共党员
,党总支副书记
,党委副书记
1,党委书记
,党委副书记
1,党委书记
1,党委书记
1,党委书记
1,中共党员
1,党委委员
,区委宣传部副部长
,区委宣传部常务副部长
1,中共党员
1,中共党员
1,中共党员
1,党委委员
1,党委书记
1,中共党员
1,党委委员
,党委副书记
1,纪委书记
,党委副书记
1,纪委书记
1,党委委员
1,党委书记
1,中共党员
,纪委副书记
1,纪委书记
,党委副书记
1,纪委书记
,党委副书记
,党委组织部工作
,党总支副书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,纪委副书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,市委副秘书
1,中共党员
1,中共党员
1,党委委员
1,中共党员
1,中共党员
1,中共党员
1,党委委员
1,党委委员
1,党委书记
1,党委书记
1,党委书记
,党委副书记
,党委副书记
1,中共党员
1,中共党员
1,中共党员
1,纪委书记
1,中共党员
,团委副书记
1,团委书记
1,党支部书记
1,纪委书记
,党委副书记
1,中共党员
1,中共党员
1,党委常委
,党委副书记
,党委副书记
1,中共党员
1,中共党员
,党委宣传部副部长
,党委宣传部副部长
,党委宣传统战部部长
,党委组织部(人事处)部长
,纪委办公室(监察审计处)主任
,纪委副书记
,纪委副书记
1,中共党员
1,党委书记
1,党委书记
1,中共党员
1,党委书记
1,党委委员
,党委副书记
1,中共党员
1,中共党员
,党委组织部部长
1,共产党党员
1,中共党员
,中共中央党校经济管理专业
1,中共党员
1,中共党员
1,中共党员
1,党委委员
,党委副书记
1,中共党员
,党委宣传部理论干事
,党委宣传部部长
,党校副校长
1,党委委员
1,纪委委员
,党委副书记
1,纪委书记
1,党委委员
1,中共党员
,党委副书记
1,纪委书记
1,党委书记
1,党委书记
1,中共党员
1,党委委员
1,中共党员
,党委组织部)副部长
1,党委书记
1,党委书记
,党委副书记
,党总支副书记
1,党委委员
1,中共党员
,党委副书记
,党委副书记
1,党委书记
1,纪委书记
1,党委书记
,党委副书记
1,党委书记
1,党委委员
1,中共党员
1,党委委员
1,中共党员
1,党委委员
1,中共党员
1,中共党员
,就职于昆明市委
,机关党委副书记
1,机关党委书记
1,党组书记
1,中共党员
1,中共党员
1,中共党员
,共产党员
1,中共党员
1,党委委员
1,中共党员
1,党委委员
1,党委书记
1,党委书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,党委副书记
1,党支部书记
1,中共党员
,党委副书记
,党委副书记
1,中共党员
1,县委常委
1,党委常委
,党委副书记
1,纪委书记
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,党委书记
1,党委书记
,党委副书记
,中央党校第68期厅局级干部
1,党委书记
1,党委书记
,纪委副书记
1,党委书记
,党委副书记
,党组成员
1,党委委员
,纪委副书记
1,党委书记
1,纪委书记
1,党政部部长
1,党支部书记
,党委副书记
1,纪委书记
1,纪委委员
1,中共党员
,党支部副书记
1,党委委员
,党委副书记
,党委副书记
1,党委书记
1,中共党员
1,党支部书记
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,党办秘书
,党委副书记
1,党委书记
,中共海宁市马桥街道委员
,党委办公室主任
1,党支部书记
1,中共党员
,党委成立20周年十佳先锋党员
1,共产党党员
1,机关党委委员
1,纪委书记
1,纪委书记
1,中共党员
1,中共党员
1,党支部书记
1,党支部书记
1,党委书记
1,中共党员
1,中共党员
1,中共党员
1,团委书记
1,党委书记
1,党委书记
,市委办公室副主任
1,县委书记
1,党组书记
1,中共党员
1,党总支书记
,纪委副书记
1,中共党员
1,中共党员
1,中共党员
1,党政部部长
1,党委委员
,党委副书记
1,中共党员
1,中共党员
,党委副书记
1,纪委书记
1,中共党员
1,党委书记
1,党支部书记
1,中共党员
1,党委委员
1,中共党员
,党委副书记
1,中共党员
1,党总支书记
,党委宣传部部长
1,中共党员
1,中共党员
1,党委书记
1,党委书记
,党委副书记
1,纪委书记
1,中共党员
1,中共党员
,市委督查室主任
1,中共党员
1,中共党员
1,中共党员
,市委副调研员
,省委副处级干事
1,党委书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,党委书记
1,党委书记
1,中共党员
1,支部书记
1,团委书记
1,纪委书记
,党委副书记
,党委副书记
1,中共党员
,党委副书记
1,中共党员
1,党委书记
1,党委委员
1,中共党员
1,党总支书记
1,党支部书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,党办科员
1,党支部书记
1,中共党员
1,中共党员
1,党支部书记
1,中共党员
1,支部书记
1,中共党员
1,纪委书记
,党委副书记
1,纪委书记
1,党总支书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党委委员
1,中共党员
1,党委书记
1,中共党员
1,中共党员
1,中共党员
1,团委书记
1,党总支书记
1,中共党员
1,党支部书记
1,党委书记
1,任职于中共
,任职于中共上海市委
1,中共党员
1,中共党员
1,党委书记
1,纪委书记
1,党支部书记
1,中共党员
1,党委书记
1,中共党员
,中共安徽省律协党委副书记
,党委副书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党总支书记
1,党支部书记
1,中共党员
1,团委书记
,党总支副书记
,党委副书记
1,党委书记
1,中共党员
1,中共党员
1,党务工作
1,中共党员
1,共产党党员
1,党办主任
1,中共党员
1,党委书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,团委书记
,团委开发部部长
,党委副书记
1,纪委书记
,中共西藏昌都地委副秘书
,县委副书记
,党委副书记
1,纪委书记
1,党委书记
1,纪委书记
,党委副书记
1,中共党员
1,中共党员
,党总支部书记
1,支部书记
,党委副书记
1,党委委员
1,中共党员
1,党委书记
1,中共党员
1,中共党员
1,党委书记
,党委组织部部长
,党校副校长
1,中共党员
1,中共党员
1,党支部书记
1,党委书记
1,中共党员
1,中共党员
1,中共党员
,党委副书记
1,纪委书记
1,中共党员
1,中共党员
1,党委书记
1,党委书记
1,中共党员
1,中共党员
,党委副书记
1,中共党员
,党总支副书记
1,中共党员
1,中共党员
1,中共党员
,党支部副书记
1,党委书记
1,中共党员
1,党支部书记
1,党支部书记
1,党委委员
1,党委书记
1,中共党员
1,党总支书记
,中共广东省委宣传部副处级秘书
,省委宣传部副处级秘书
,省委外宣办(省政府新闻办)副主任
1,中共党员
,党委专职副书记
1,中共党员
1,中共党员
1,中共党员
,党委副书记
,党委副书记
1,中共党员
1,中共党员
1,中共党员
1,党委书记
,党委副书记
1,中共党员
1,党委书记
,党群办干事
1,中共党员
,中央党校经济法学专业
1,中共党员
1,中共党员
1,党委书记
,党委副书记
1,中共党员
,党委副书记
1,中共党员
1,中共党员
1,党委委员
1,党委委员
1,党总支书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,纪委副书记
1,中共党员
1,党委书记
1,党委书记
1,中共党员
1,中共党员
1,党支部书记
1,中共党员
1,中共党员
1,党委书记
1,中共党员
1,党委委员
1,中共党员
1,中共党员
1,中共党员
,支部专职副书记
,党支部副书记
1,中共党员
1,党总支书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,党委副书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,党委副书记
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,党委书记
1,党委书记
1,中共党员
,党委副书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,党委副书记
1,党委委员
,党委副书记
1,中共党员
1,党总支书记
1,党委委员
1,党支部书记
1,党委书记
1,党支部书记
1,党委委员
1,党委委员
1,中共党员
1,中共党员
1,中共党员
,党委副书记
,党委组织部部长
,党委统战部部长
1,党委委员
1,中共党员
1,党委书记
1,纪委书记
1,党委书记
1,中共党员
1,中共党员
1,党委委员
1,党工委书记
1,党委委员
1,党委委员
1,中共党员
1,党委委员
1,党委委员
,党委副书记
,党委副书记
1,党委委员
1,中共党员
1,党支部书记
1,党委委员
1,党委委员
1,中共党员
,党委组织部)部长
1,纪委委员
1,支部书记
1,党支部书记
1,党委书记
,党委副书记
1,中共党员
1,党总支书记
1,中共党员
1,党支部书记
1,纪委委员
1,党委书记
1,党委书记
1,中共党员
,共产党员
1,中共党员
1,党委书记
1,中共党员
,团委副书记
1,中共党员
,党委副书记
1,党支部书记
,纪委副书记
1,中共党员
1,中共党员
1,党委书记
1,纪委书记
1,党支部书记
1,中共党员
1,党委书记
1,党委书记
1,中共党员
1,党支部委员
1,中共党员
1,中共党员
1,党委委员
1,党支部书记
1,中共党员
1,纪委委员
1,纪委委员
1,党支部书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,党委副书记
1,中共党员
,共产党员
1,党支部书记
,党总支部书记
1,支部书记
1,中共党员
1,中共党员
1,党支部书记
1,支部书记
1,党支部书记
1,党支部书记
1,党支部书记
1,纪委委员
1,党政业务处处长
,共产党员
,共产党员
,共产党员
1,团委书记
1,党委书记
,共产党员
,共产党员
,共产党员
,共产党员
,共产党员
1,中共党员
1,中共党员
,共产党员
1,党委书记
,共产党员
,团委副书记
,共产党员
,共产党员
1,党支部书记
1,中共党员
,共产党员
,共产党员
,党委副书记
1,党委书记
,共产党员
,团委副书记
,党委副书记
1,中共党员
,党组成员
1,纪委书记
1,纪委书记
1,中共党员
1,中共党员
1,中共党员
1,党总支书记
1,中共党员
1,中共党员
1,中共党员
,党委办主任
1,团委书记
1,中共党员
1,党委书记
1,中共党员
1,中共党员
,市委市政府信息中心主任
1,中共党员
1,中共党员
,党委副书记
,中共珠海市纪委派驻市国土局纪检组副组长
,纪委派驻市国土局纪检组副组长
,党委副书记
1,纪委书记
1,纪委书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,党委办副主任
,党委副书记
1,党委书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,中共上海市第十届党代会代表
1,党代会代表
1,党委书记
1,中共党员
,党务专员
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,党委书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,党工委书记
1,党工委书记
1,党工委书记
,党组成员
1,中共党员
1,团委书记
1,党办主任
1,党支部书记
1,党支部书记
1,纪委书记
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,中共党员
1,中共党员
1,党委书记
1,党委书记
1,党办主任
1,机关党委书记
1,纪委书记
,党委副书记
1,纪委书记
1,中共党员
1,中共党员
1,中共党员
1,省委工作
1,中共党员
1,中共党员
1,党委委员
1,党委委员
,中共郑州市委宣传部等三单位评为
,市委宣传部等三单位评为
1,中共党员
1,中共党员
1,中共党员
1,党委书记
,党委常务副书记
1,中共党员
1,中共党员
1,中共党员
1,省委常委
1,中共党员
1,中共党员
1,党校主任
,市委党校主任
1,团委书记
,党委副书记
1,党支部书记
1,纪委委员
1,党支部委员
1,中共党员
,中共芜湖市党代表
1,党支部书记
,党委副书记
1,中共党员
,党委副书记
,纪委副书记
1,中共党员
,党支部副书记
1,党委书记
1,党委书记
1,党委书记
1,纪委常委
,纪委正处级纪检监察员
,党委副书记
1,纪委书记
,党委副书记
1,纪委书记
1,党委常委
1,团委书记
1,团委书记
1,党委书记
,党委副书记
1,纪委书记
,党总支副书记
1,党支部书记
1,党总支书记
,党委副书记
,市委研究室主任
1,党委常委
,党委副书记
1,党委书记
1,党委常委
1,党委书记
,市委组织部组织处处长
,党委副书记
1,党工委书记
1,党总支委员
,党委副书记
1,纪委书记
1,党委书记
,党总支副书记
1,党总支书记
1,中共党员
,党委副书记
1,党委书记
1,党委书记
1,党委书记
,党委副书记
1,党委书记
1,区委常委
1,党工委书记
1,县委常委
1,党委书记
1,党委委员
1,党支部书记
1,党委书记
1,党委委员
1,党委委员
,书记兼党委
,纪委副书记
1,党委委员
1,纪委书记
1,纪委委员
,党委副书记
1,党委书记
,党委副书记
1,纪委书记
1,中共党员
1,中共党员
1,党委书记
1,中共党员
1,团委书记
,党总支副书记
1,党总支书记
1,党委书记
1,党委书记
,党委副书记
1,纪委书记
,纪委副书记
1,党委常委
,党委副书记
1,纪委书记
,纪委副书记
1,党委委员
,纪委副书记
1,党委委员
1,党工委书记
,党工委副书记
,党工委副书记
,党委副书记
1,中共党员
1,党委书记
1,党委委员
1,党委书记
1,党委书记
1,党委书记
1,党委书记
,党委副书记
,党委副书记
1,党委委员
1,党委委员
,党委副书记
,党组成员
1,党委常委
1,党委常委
1,党支部书记
1,党委书记
,党委副书记
1,纪委书记
,党委副书记
1,党委书记
1,党委书记
1,中共党员
1,党委委员
1,党委委员
,党委副书记
1,纪委书记
1,党委书记
,党委副书记
1,党委书记
1,党委委员
1,党支部书记
1,党支部书记
1,党委委员
1,纪委书记
1,纪委委员
1,党委委员
1,纪委书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,中共三泰控股集团综合党委书记
1,党委书记
1,中共党员
1,党委委员
1,党委委员
1,党委委员
1,中共党员
1,中共党员
1,中共党员
1,党支部书记
,党组成员
1,党委书记
1,党委书记
1,中共党员
1,中共党员
,党委副书记
1,党委委员
1,党委委员
1,党委书记
1,中共党员
1,团委干事
1,团委书记
1,党委委员
1,党委委员
1,党委委员
1,中共党员
1,党委委员
1,党委委员
1,中共党员
1,党委委员
1,党委书记
1,党组书记
,中共海口市纪委委员
1,纪委委员
1,党委书记
1,中共党员
1,中共党员
1,党支部书记
1,中共党员
1,中共党员
1,党委书记
1,纪委书记
1,党委书记
1,纪委书记
1,中共党员
1,中共党员
1,中共党员
1,党委委员
1,中共党员
,党委副书记
1,纪委书记
1,中共党员
1,党委书记
1,党委书记
1,中共党员
1,党委书记
1,中共党员
1,中共党员
1,中共党员
,党校法学教员
1,中共党员
1,中共党员
1,党代会代表
1,中共党员
1,党办委员
1,中共党员
1,中共党员
1,中共党员
,党委副书记
1,中共党员
1,党支部书记
1,中共党员
1,团委书记
1,中共党员
1,党委书记
1,中共党员
1,中共党员
1,中共党员
,党组成员
,党组成员
1,中共党员
1,中共党员
1,中共党员
1,党委委员
1,中共党员
1,中共党员
1,中共党员
1,省委委员
1,市委常委
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党支部委员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党支部书记
1,党支部书记
,加入中国共产党
1,中共党员
1,中共党员
1,党委委员
,纪委副书记
1,中共党员
,党委副书记
,党委副书记
1,中共党员
1,党委委员
1,中共党员
1,团委书记
1,中共党员
1,中共党员
1,中共党员
1,党委委员
,党委副书记
,加入中国共产党
1,中共党员
1,中共党员
,党委办主任
,党委办主任
1,中共党员
1,中共党员
1,中共党员
,党总支副书记
1,党委委员
1,中共党员
1,中共党员
1,中共党员
1,党委委员
1,党委委员
1,党委委员
,党组成员
1,党工委书记
,中共海宁市委办公室主任
,市委办公室主任
1,党委书记
1,中共党员
1,党支部书记
1,省委常委
1,中共党员
1,党委书记
1,党委书记
1,团委书记
1,纪委委员
,党委办副主任
1,纪委委员
,党委办副主任
1,中共党员
,共产党员
1,中共党员
1,党委委员
1,中共党员
1,中共党员
1,党支部书记
1,党代会代表
1,中共党员
1,党委书记
1,中共党员
,党委办公室任主任
1,中共党员
1,中共党员
1,中共党员
,党组成员
,党组成员
,党组成员
1,党委书记
1,中共党员
1,中共党员
,党组成员
,党委副书记
1,党委书记
1,中共党员
1,中共党员
1,党委委员
1,党委委员
1,党委委员
1,中共党员
1,党委书记
1,中共党员
1,中共党员
1,中共党员
,党组成员
1,中共党员
1,团委书记
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,中共党员
1,中共党员
1,党委书记
1,中共党员
1,共产党党员
,党政办公室工作
,党总支副书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,中共党员
,党组副书记
1,中共党员
1,中共党员
1,中共党员
1,党组书记
,党组成员
1,中共党员
1,中共党员
,共产党员
1,中共党员
1,党委书记
1,中共党员
1,党务工作
1,党务工作
,共产党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,党委副书记
,党委办公室副主任
1,团委书记
1,党委书记
,党委副书记
1,党委书记
1,中共党员
1,中共党员
1,党委书记
1,中共党员
1,党委委员
1,党委书记
,党委副书记
1,党委书记
,中共广东省委党校(广东行政学院)工作
,党校(广东行政学院)工作
,省委党校(广东行政学院)工作
1,党委书记
1,党委书记
1,党委书记
1,党委书记
1,中共党员
,纪委副书记
1,中共党员
,党委办公室主任
,党委副书记
1,纪委书记
,党委副书记
1,纪委书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,省委委员
1,党委委员
1,中共党员
,中共江苏省委决策咨询委员
,省委决策咨询委员
1,党委书记
1,纪委书记
1,党总支书记
1,党委书记
,省委联合授予
1,中共党员
1,团委书记
1,党群主管
1,中共党员
1,中共党员
1,党委委员
1,党委委员
1,党委委员
,中共宜宾市委委员
1,市委委员
1,党委委员
1,党委书记
1,中共党员
1,中共党员
1,中共党员
,共产党员
1,党委书记
1,中共党员
1,中共党员
1,党组秘书
1,纪委书记
1,党委书记
1,团委干部
,团委副书记
,团委副书记
1,团委书记
1,团委书记
,党委副书记
1,纪委书记
,党委副书记
1,纪委书记
1,党委书记
1,党委书记
,党委组织部部长
1,中共党员
,党委宣传部科员
,党委宣传部副部长
,团委副书记
,党委办公室副主任
1,中共党员
1,中共党员
,团委副书记
,党委副书记
1,纪委书记
1,党委书记
1,党委书记
,党委副书记
1,中共党员
1,党委书记
1,中共党员
,纪委副书记
1,中共党员
1,中共党员
1,中共党员
1,党支部书记
1,共产党党员
1,纪委书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,党总支书记
1,党委书记
1,党委书记
1,党委委员
,党委副书记
,党委副书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,中共福州市律师协会党委委员
1,党委委员
1,中共党员
,团委副书记
,党总支副书记
1,中共党员
1,党支部书记
1,中共党员
1,中共党员
1,党委书记
,党组成员
1,党委委员
1,中共党员
1,中共党员
1,党委书记
1,中共党员
1,中共党员
1,党委书记
1,纪委书记
1,党委书记
1,中共党员
1,中共党员
,党委办公室主任
,党委办公室主任
1,中共党员
,党委副书记
1,团委干事
1,党委委员
,党委副书记
,党组成员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,党组纪检组副组长
,纪委监察部监察综合室干部
1,中共党员
,党委副书记
1,中共党员
1,中共党员
1,中共党员
1,党委委员
1,中共党员
1,党委委员
1,中共党员
1,党总支委员
1,党委委员
1,支部书记
1,党委书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,市委书记
,党委副书记
1,党委书记
1,中共党员
1,中共党员
1,党委书记
,党组成员
,党组成员
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,党委书记
1,党委书记
1,中共党员
1,中共党员
,共产党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,中共党员
1,中共党员
1,团委书记
,党委副书记
1,党委书记
1,党委书记
1,中共党员
1,党务工作
1,党委书记
1,党代会代表
1,中共党员
1,团委书记
1,中共党员
1,中共党员
1,中共党员
,党委副书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,党委书记
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党委常委
1,中共党员
1,党委委员
1,党委书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,中共广州市第九次党代会代表
1,党代会代表
,党组织书记
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,荣获中共
,荣获中共四川省委
1,市委颁发
1,团委书记
1,中共党员
1,中共党员
,团委副书记
1,党支部书记
,党群党支部书记
1,党支部书记
,党群党支部书记
1,中共党员
1,中共党员
1,党组书记
1,党委委员
1,中共党员
1,党总支书记
