area,target0,target1,target2,target3,target4,maxConfidence
橡塑类商品贸易,5181贸易代理,518贸易经纪与代理,5189其他贸易经纪与代理,1农业,11谷物种植,0.222
化工(酒精类产品),5169其他化工产品批发,1773窗帘、布艺类产品制造,516矿产品、建材及化工产品批发,2456儿童乘骑玩耍的童车类产品制造,1511酒精制造,0.267
金融信托及资金投资,691金融信托与管理服务,6919其他金融信托与管理服务,6940金融信息服务,J金融业,6732天使投资,0.375
钢业生产,441电力生产,2740中成药生产,4419其他电力生产,2522煤制合成气生产,4430热力生产和供应,0.333
煤炭分部,252煤炭加工,690其他煤炭采选,2529其他煤炭加工,5161煤炭及制品批发,6煤炭开采和洗选业,0.333
化纤业,1751化纤织造加工,2811化纤浆粕制造,1752化纤织物染整精加工,175化纤织造及印染精加工,1农业,0.286
盐化工,4891园林绿化工程施工,5169其他化工产品批发,3543日用化工专用设备制造,3521炼油、化工生产专用设备制造,516矿产品、建材及化工产品批发,0.222
饲料销售,132饲料加工 ,1321宠物饲料加工,1329其他饲料加工,5267机动车充电销售,5113畜牧渔业饲料批发,0.333
电子机械,356电子和电工机械专用设备制造,5179其他机械设备及电子产品批发,512农业机械活动,2423电子乐器制造,3423铸造机械制造,0.267
物业租赁及咨询代理,71租赁业,5181贸易代理,7020物业管理,7111汽车租赁,7244健康咨询,0.2
金属类商品贸易,5181贸易代理,322贵金属冶炼,33金属制品业 ,92贵金属矿采选,2130金属家具制造,0.222
化工(酒精及其副产品),5169其他化工产品批发,1353肉制品及副产品加工,516矿产品、建材及化工产品批发,1511酒精制造,25林产品采集,0.235
纺织机械业务,17纺织业,512农业机械活动,3423铸造机械制造,3471电影机械制造,3511矿山机械制造,0.4
机电物资,5191再生物资回收与批发,3563电子元器件与机电组件设备制造,1农业,11谷物种植,111稻谷种植,0.182
甲醇分部,,,,,,0
房地产开发及相关业务,7010房地产开发经营,70房地产业,70房地产业,7090其他房地产业,7030房地产中介服务,0.615
蛋白饲料,132饲料加工 ,1321宠物饲料加工,1329其他饲料加工,5113畜牧渔业饲料批发,1495食品及饲料添加剂制造,0.333
其他矿采选业,810铁矿采选,911铜矿采选,914锡矿采选,915锑矿采选,916铝矿采选,0.667
批发零售,F批发和零售业,51批发业,52零售业,5112种子批发,5116牲畜批发,0.5
房地产业(装修),70房地产业,70房地产业,7090其他房地产业,7010房地产开发经营,7030房地产中介服务,0.6
物流代理服务,6852保险代理服务,7298票务代理服务,7940土地登记代理服务,8991体育中介代理服务,721组织管理服务,0.6
屠宰业,1351牲畜屠宰,1352禽类屠宰,135屠宰及肉类加工,1农业,11谷物种植,0.4
非纺机,,,,,,0
硬质合金行业,3140铁合金冶炼,9522行业性团体,3240有色金属合金制造,1农业,11谷物种植,0.222
肉制品,1353肉制品及副产品加工,1392豆制品制造,144乳制品制造,16烟草制品业 ,203木制品制造,0.4
天然碱分部,72天然气开采,182天然草原割草,721陆地天然气开采,7630天然水收集与分配,7石油和天然气开采业,0.25
粘胶纤维生产及相关业务,7291旅行社及相关服务,373船舶及相关装置制造,7231律师及相关法律服务,6410互联网接入及相关服务,728会议、展览及相关服务,0.267
软件服务,6020快递服务,6130民宿服务,6210正餐服务,6220快餐服务,6231茶馆服务,0.333
帘帆布,1784篷、帆布制造,1农业,11谷物种植,111稻谷种植,112小麦种植,0.286
物业租赁及咨询、代理,71租赁业,5181贸易代理,7020物业管理,7111汽车租赁,7244健康咨询,0.182
健身服务,6020快递服务,6130民宿服务,6210正餐服务,6220快餐服务,6231茶馆服务,0.333
屠宰及肉类蛋类加工业,135屠宰及肉类加工,13农副食品加工业,31黑色金属冶炼和压延加工业 ,32有色金属冶炼和压延加工业 ,25石油、煤炭及其他燃料加工业 ,0.8
尿素-贸易,5181贸易代理,518贸易经纪与代理,5189其他贸易经纪与代理,1农业,11谷物种植,0.286
非纺机业,,,,,,0
硬质合金,3140铁合金冶炼,3240有色金属合金制造,1农业,11谷物种植,111稻谷种植,0.286
屠宰及肉类蛋类,135屠宰及肉类加工,1351牲畜屠宰,1352禽类屠宰,1农业,11谷物种植,0.667
房地产主业,70房地产业,70房地产业,7090其他房地产业,7010房地产开发经营,7030房地产中介服务,0.571
合并无形资产增值摊销,6860保险资产管理,7212投资与资产管理,6950金融资产管理公司,1农业,11谷物种植,0.143
粘胶行业,9522行业性团体,1农业,11谷物种植,111稻谷种植,112小麦种植,0.286
房地产咨询及代理服务,6852保险代理服务,7298票务代理服务,7030房地产中介服务,7940土地登记代理服务,8991体育中介代理服务,0.429
房屋土地出租,7124图书出租,47房屋建筑业,5413出租车客运,7130日用品出租,79土地管理业,0.25
食品加工业,13农副食品加工业,1393蛋品加工,139其他农副食品加工,136水产品加工,1399其他未列明农副食品加工,0.8
非纺机业务,,,,,,0
物业出租及贸易业,5181贸易代理,7020物业管理,7124图书出租,5413出租车客运,7130日用品出租,0.2
碱业,,,,,,0
肉食品加工,13农副食品加工业,1393蛋品加工,139其他农副食品加工,136水产品加工,1399其他未列明农副食品加工,0.6
化纤主业,1751化纤织造加工,2811化纤浆粕制造,1752化纤织物染整精加工,175化纤织造及印染精加工,1农业,0.25
金融其他,J金融业,69其他金融业,66货币金融服务,6940金融信息服务,6634汽车金融公司服务,0.667
新纤维材料业务,2022纤维板制造,265合成材料制造,282合成纤维制造,2821锦纶纤维制造,2822涤纶纤维制造,0.25
房地产咨询代理,70房地产业,70房地产业,7090其他房地产业,7010房地产开发经营,7030房地产中介服务,0.444
销售原材料及配套件,2780药用辅料及包装材料,3940雷达及配套设备制造,2770卫生材料及医药用品制造,265合成材料制造,526汽车、摩托车、零配件和燃料及其他动力销售,0.25
代购代销,,,,,,0
硬质合金(制造业),C制造业,14食品制造业,21家具制造业 ,27医药制造业 ,36汽车制造业,0.4
屠宰食品加工,13农副食品加工业,139其他农副食品加工,1393蛋品加工,136水产品加工,1399其他未列明农副食品加工,0.545
甲醇及下游行业,9522行业性团体,1农业,11谷物种植,111稻谷种植,112小麦种植,0.2
其他加工业,13农副食品加工业,1494盐加工 ,1311稻谷加工,1312小麦加工,1313玉米加工,0.5
粘胶纤维制造销售业务,282合成纤维制造,2821锦纶纤维制造,2822涤纶纤维制造,2823腈纶纤维制造,2824维纶纤维制造,0.5
其他金融,J金融业,69其他金融业,66货币金融服务,6940金融信息服务,6634汽车金融公司服务,0.667
帆布帘子布,1783纺织带和帘子布制造,1784篷、帆布制造,1农业,11谷物种植,111稻谷种植,0.333
房地产租赁及咨询、代理服务,7040房地产租赁经营,6852保险代理服务,7298票务代理服务,7030房地产中介服务,7940土地登记代理服务,0.444
物业出租及贸易销售,5181贸易代理,7020物业管理,7124图书出租,5413出租车客运,7130日用品出租,0.182
国内销售,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,111稻谷种植,0.222
纺织机械专件及配件,3670汽车零部件及配件制造,3752摩托车零部件及配件制造,3412内燃机及配件制造,3561电工机械专用设备制造,3576农林牧渔机械配件制造,0.353
肉羊屠宰加工,135屠宰及肉类加工,1494盐加工 ,1311稻谷加工,1312小麦加工,1313玉米加工,0.364
甲醇及下游产品,25林产品采集,136水产品加工,5115林业产品批发,5117渔业产品批发,5174五金产品批发,0.2
屠宰及肉类蛋类加工,135屠宰及肉类加工,1494盐加工 ,1311稻谷加工,1312小麦加工,1313玉米加工,0.857
房地产开发与经营业务,7010房地产开发经营,7040房地产租赁经营,70房地产业,70房地产业,7090其他房地产业,0.769
金融其他服务,66货币金融服务,6940金融信息服务,6634汽车金融公司服务,6636消费金融公司服务 ,J金融业,0.75
粘胶长纤维,2022纤维板制造,282合成纤维制造,2821锦纶纤维制造,2822涤纶纤维制造,2823腈纶纤维制造,0.25
国外销售,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,111稻谷种植,0.222
设备租赁业务,71租赁业,711机械设备经营租赁,7115医疗设备经营租赁,7111汽车租赁,7119其他机械与设备经营租赁,0.4
自有房产租赁,7040房地产租赁经营,71租赁业,7111汽车租赁,6631融资租赁服务,711机械设备经营租赁,0.364
织造机械,3423铸造机械制造,1712棉织造加工,1722毛织造加工,1732麻织造加工,512农业机械活动,0.5
水产养殖业,41水产养殖,411海水养殖,412内陆养殖,42水产捕捞,136水产品加工,0.857
煤产品,25林产品采集,136水产品加工,5115林业产品批发,5117渔业产品批发,5174五金产品批发,0.333
单一饲料,132饲料加工 ,1321宠物饲料加工,1329其他饲料加工,5113畜牧渔业饲料批发,1495食品及饲料添加剂制造,0.333
服务费,6020快递服务,6130民宿服务,6210正餐服务,6220快餐服务,6231茶馆服务,0.4
软件制作及服务,65软件和信息技术服务业,1422蜜饯制作,6020快递服务,6130民宿服务,6210正餐服务,0.267
粘胶短纤维,2022纤维板制造,282合成纤维制造,2821锦纶纤维制造,2822涤纶纤维制造,2823腈纶纤维制造,0.25
内贸货物销售,5320铁路货物运输,543道路货物运输,552水上货物运输,5521远洋货物运输,5522沿海货物运输,0.2
劳务提供,7263劳务派遣服务,5030提供施工设备服务,851提供住宿社会工作,852不提供住宿社会工作,8519其他提供住宿社会救助,0.25
旅游基础设施经营管理,7810市政设施管理,78公共设施管理业,7610防洪除涝设施管理,892体育场地设施管理,8929其他体育场地设施管理 ,0.286
化学纤维纺织机械,28化学纤维制造业,2831生物基化学纤维制造,1731麻纤维纺前加工和纺纱,17纺织业,1020化学矿开采,0.462
农牧业,3畜牧业,39其他畜牧业,399其他未列明畜牧业,5119其他农牧产品批发,1农业,0.5
小苏打、纯碱,,,,,,0
期货经纪收入,9054体育经纪人,674期货市场服务,6851保险经纪服务,518贸易经纪与代理,9053文化娱乐经纪人,0.222
短绒加工,1494盐加工 ,1311稻谷加工,1312小麦加工,1313玉米加工,1314杂粮加工,0.4
进口货物销售,5320铁路货物运输,543道路货物运输,552水上货物运输,5521远洋货物运输,5522沿海货物运输,0.2
合成纤维制造业,282合成纤维制造,2829其他合成纤维制造,28化学纤维制造业,2821锦纶纤维制造,2822涤纶纤维制造,0.909
一般商品贸易,5181贸易代理,612一般旅馆,5182一般物品拍卖 ,6129其他一般旅馆,518贸易经纪与代理,0.25
材料让售,265合成材料制造,283生物基材料制造,2659其他合成材料制造,3024轻质建筑材料制造,3033防水建筑材料制造,0.25
投资咨询业务,6732天使投资,7244健康咨询,7245环保咨询,7246体育咨询,724咨询与调查,0.333
天然纤维纺织机械,1731麻纤维纺前加工和纺纱,17纺织业,2435天然植物纤维编织工艺品制造,72天然气开采,2022纤维板制造,0.25
供暖供气,,,,,,0
甲醇及其下游,2049草及其他制品制造,2319包装装潢及其他印刷,1019粘土及其他土砂石开采,1529茶饮料及其他饮料制造,3340金属丝绳及其制品制造,0.167
饲料原料销售(外销),132饲料加工 ,1321宠物饲料加工,1329其他饲料加工,5267机动车充电销售,261基础化学原料制造,0.167
帆布、帘子布,1783纺织带和帘子布制造,1784篷、帆布制造,1农业,11谷物种植,111稻谷种植,0.308
出口货物销售,5320铁路货物运输,543道路货物运输,552水上货物运输,5521远洋货物运输,5522沿海货物运输,0.2
通信器材销售及增值业务,2443健身器材制造,392通信设备制造,5248照相器材零售,5274通信设备零售,5267机动车充电销售,0.154
钢棒产品销售,25林产品采集,136水产品加工,5115林业产品批发,5117渔业产品批发,5174五金产品批发,0.222
硬质合金销售,3140铁合金冶炼,5267机动车充电销售,3240有色金属合金制造,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,0.222
私募基金业务,9530基金会,6731创业投资基金,6720公开募集证券投资基金,673非公开募集证券投资基金,6739其他非公开募集证券投资基金,0.4
轻纺工业专用设备制造业,35专用设备制造业 ,34通用设备制造业,3467包装专用设备制造,3516冶金专用设备制造,3542印刷专用设备制造,0.75
售房款,,,,,,0
大块煤,,,,,,0
供应链服务,7224供应链管理服务,4420电力供应,6020快递服务,6130民宿服务,6210正餐服务,0.6
机器设备等,358医疗仪器设备及器械制造,392通信设备制造,395视听设备制造,3952音响设备制造,4320通用设备修理,0.286
减内部抵消,,,,,,0
通信主业,392通信设备制造,5274通信设备零售,3921通信系统设备制造,3922通信终端设备制造,39计算机、通信和其他电子设备制造业,0.25
外经商贸,,,,,,0
有色金属合金业,3240有色金属合金制造,3392有色金属铸造,9有色金属矿采选业,321常用有色金属冶炼,325有色金属压延加工,0.769
其他（含中山总部）,7211企业总部管理,1农业,11谷物种植,111稻谷种植,112小麦种植,0.182
现代农业,1农业,190其他农业,512农业机械活动,5171农业机械批发,7112农业机械经营租赁,0.5
供暖工程,4811铁路工程建筑,4812公路工程建筑,483海洋工程建筑,4840工矿工程建筑,4852管道工程建筑,0.25
纯碱,,,,,,0
轴承、阀门制造业,C制造业,14食品制造业,21家具制造业 ,27医药制造业 ,36汽车制造业,0.444
聚酯,,,,,,0
进出口及国内贸易,5181贸易代理,518贸易经纪与代理,5189其他贸易经纪与代理,4823港口及航运设施工程建筑,1农业,0.2
通信器材销售,2443健身器材制造,392通信设备制造,5248照相器材零售,5274通信设备零售,5267机动车充电销售,0.2
预应力钢棒,,,,,,0
有色金属合金行业,3240有色金属合金制造,3392有色金属铸造,9有色金属矿采选业,321常用有色金属冶炼,325有色金属压延加工,0.714
另类投资业务,6732天使投资,6731创业投资基金,6760资本投资服务,7212投资与资产管理,6720公开募集证券投资基金,0.333
设计、施工、混凝土,4861节能工程施工,4862环保工程施工,487电力工程施工,4873核电工程施工,6520集成电路设计,0.154
安装工程,4910电气安装,49建筑安装业,4811铁路工程建筑,4812公路工程建筑,483海洋工程建筑,0.333
煤泥,,,,,,0
传动轴,3451滚动轴承制造,3452滑动轴承制造,3459其他传动部件制造,345轴承、齿轮和传动部件制造,1农业,0.286
PTA,,,,,,0
农副产品销售,1353肉制品及副产品加工,25林产品采集,136水产品加工,5115林业产品批发,5117渔业产品批发,0.308
通讯器材销售及增值业务,2443健身器材制造,5177通讯设备批发,5248照相器材零售,8122通讯设备修理,5267机动车充电销售,0.154
国内工业,2643工业颜料制造,7491工业设计服务,13农副食品加工业,3491工业机器人制造,31黑色金属冶炼和压延加工业 ,0.25
有色金属合金,3240有色金属合金制造,3392有色金属铸造,9有色金属矿采选业,321常用有色金属冶炼,325有色金属压延加工,0.833
结构化主体业务,3311金属结构制造,3022砼结构构件制造,331结构性金属制品制造,1农业,11谷物种植,0.222
小苏打,,,,,,0
接网收入,,,,,,0
PPP项目,,,,,,0
轴承零件,2913橡胶零件制造,3451滚动轴承制造,3452滑动轴承制造,2429其他乐器及零件制造,3984电声器件及零件制造,0.25
原料贸易,5181贸易代理,518贸易经纪与代理,261基础化学原料制造,2614有机化学原料制造,2710化学药品原料药制造,0.333
通信器材销售主业,2443健身器材制造,392通信设备制造,5248照相器材零售,5274通信设备零售,5267机动车充电销售,0.167
农副产品,1353肉制品及副产品加工,25林产品采集,136水产品加工,5115林业产品批发,5117渔业产品批发,0.364
外经外贸,,,,,,0
饮料行业(包装+代工),152饮料制造,7292包装服务,9522行业性团体,1521碳酸饮料制造,1525固体饮料制造,0.154
总部（含中山证券总部）,671证券市场服务,7211企业总部管理,8425门诊部（所）,6711证券市场管理服务,6712证券经纪交易服务,0.133
三八块,,,,,,0
接网,,,,,,0
设计、混凝土预制构件及施工总承包,4861节能工程施工,4862环保工程施工,487电力工程施工,4873核电工程施工,6520集成电路设计,0.1
零件及标件,3984电声器件及零件制造,2929塑料零件及其他塑料制品制造,2913橡胶零件制造,2429其他乐器及零件制造,3670汽车零部件及配件制造,0.333
聚酯纤维(涤纶),2822涤纶纤维制造,2022纤维板制造,282合成纤维制造,2821锦纶纤维制造,2823腈纶纤维制造,0.333
化纤行业,9522行业性团体,1751化纤织造加工,2811化纤浆粕制造,1752化纤织物染整精加工,175化纤织造及印染精加工,0.286
保险,68保险业,6830再保险,681人身保险,6811人寿保险,6812年金保险,0.667
劳务合作,7263劳务派遣服务,6623信用合作社服务,1农业,11谷物种植,111稻谷种植,0.25
饮料行业（包装+代工）,152饮料制造,7292包装服务,9522行业性团体,1521碳酸饮料制造,1525固体饮料制造,0.154
私募业务,,,,,,0
籽煤,,,,,,0
供暖、供汽,,,,,,0
装配式建筑,E建筑业,47房屋建筑业,49建筑安装业,3032建筑用石加工,4710住宅房屋建筑,0.333
商业零售分部,52零售业,521综合零售,5211百货零售,5221粮油零售,5232服装零售,0.286
铝型材及铝合金门窗收入,2032木门窗制造,3140铁合金冶炼,3312金属门窗制造,3240有色金属合金制造,2922塑料板、管、型材制造,0.143
基金管理及养老服务,721组织管理服务,722综合管理服务,7221园区管理服务,7223市场管理服务,7481工程管理服务,0.308
保险业务,68保险业,6830再保险,681人身保险,6811人寿保险,6812年金保险,0.667
工程承包经援,4811铁路工程建筑,4812公路工程建筑,483海洋工程建筑,4840工矿工程建筑,4852管道工程建筑,0.2
饮料,152饮料制造,1521碳酸饮料制造,1525固体饮料制造,623饮料及冷饮服务,169其他饮料作物种植,0.5
另类投资,6732天使投资,6731创业投资基金,6760资本投资服务,7212投资与资产管理,6720公开募集证券投资基金,0.333
工业用水,2643工业颜料制造,7491工业设计服务,13农副食品加工业,3491工业机器人制造,1522瓶（罐）装饮用水制造,0.25
供暖、供气,,,,,,0
混泥土,,,,,,0
地产业,70房地产业,70房地产业,7090其他房地产业,7010房地产开发经营,7030房地产中介服务,0.8
铝型材收入,2922塑料板、管、型材制造,1农业,11谷物种植,111稻谷种植,112小麦种植,0.154
基金管理费及养老服务行业,721组织管理服务,722综合管理服务,7221园区管理服务,7223市场管理服务,7481工程管理服务,0.25
医药化工业务,27医药制造业 ,4891园林绿化工程施工,5169其他化工产品批发,515医药及医疗器材批发,3543日用化工专用设备制造,0.286
工程承包、经援,4811铁路工程建筑,4812公路工程建筑,483海洋工程建筑,4840工矿工程建筑,4852管道工程建筑,0.182
PET原料销售,5267机动车充电销售,261基础化学原料制造,2614有机化学原料制造,2710化学药品原料药制造,2619其他基础化学原料制造,0.167
证券业务,671证券市场服务,6711证券市场管理服务,6712证券经纪交易服务,6750证券期货监管服务,6720公开募集证券投资基金,0.333
焦粉,,,,,,0
递延接网,,,,,,0
商品砼,,,,,,0
零售行业,52零售业,521综合零售,5211百货零售,5221粮油零售,5232服装零售,0.4
铝合金门窗,2032木门窗制造,3140铁合金冶炼,3312金属门窗制造,3240有色金属合金制造,1农业,0.25
基金管理费及养老服务,721组织管理服务,722综合管理服务,7221园区管理服务,7223市场管理服务,7481工程管理服务,0.286
医药化工板块,27医药制造业 ,4891园林绿化工程施工,5169其他化工产品批发,515医药及医疗器材批发,3543日用化工专用设备制造,0.222
食用植物油加工,1331食用植物油加工,1332非食用植物油加工,133植物油加工,1372食用菌加工,1494盐加工 ,1
纸杯业务,,,,,,0
总部其他,7211企业总部管理,1农业,11谷物种植,111稻谷种植,112小麦种植,0.333
粉煤,,,,,,0
热水生产和供应行业,4610自来水生产和供应,4430热力生产和供应,45燃气生产和供应业,45燃气生产和供应业,4513煤气生产和供应业,0.667
房地产开发收入,7010房地产开发经营,70房地产业,70房地产业,7090其他房地产业,7030房地产中介服务,0.667
房产及土地收入,79土地管理业,7486土地规划服务,7910土地整治服务,7930土地登记服务,7920土地调查评估服务,0.2
地产行业,70房地产业,70房地产业,9522行业性团体,7090其他房地产业,7010房地产开发经营,0.333
基金及养老服务,9530基金会,6020快递服务,6130民宿服务,6210正餐服务,6220快餐服务,0.25
保险业务板块,68保险业,6830再保险,681人身保险,6811人寿保险,6812年金保险,0.4
阀门制造业,C制造业,14食品制造业,21家具制造业 ,27医药制造业 ,36汽车制造业,0.667
胶罐业务,,,,,,0
检测,7452检测服务,1农业,11谷物种植,111稻谷种植,112小麦种植,0.5
原材料及其他,2780药用辅料及包装材料,2770卫生材料及医药用品制造,265合成材料制造,283生物基材料制造,623饮料及冷饮服务,0.364
房屋开发收入,651软件开发,47房屋建筑业,4710住宅房屋建筑,6511基础软件开发,6512支撑软件开发,0.25
地产销售,70房地产业,70房地产业,7090其他房地产业,5267机动车充电销售,7010房地产开发经营,0.333
彩印包装,7292包装服务,3055玻璃包装容器制造,3467包装专用设备制造,2319包装装潢及其他印刷,2780药用辅料及包装材料,0.333
商品砼销售,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,111稻谷种植,0.2
采矿业,B采矿业,12其他采矿业,12其他采矿业,351采矿、冶金、建筑专用设备制造,1农业,1
化工类产品,5169其他化工产品批发,1773窗帘、布艺类产品制造,25林产品采集,136水产品加工,516矿产品、建材及化工产品批发,0.364
管件、阀门,344泵、阀门、压缩机及类似机械制造,3443阀门和旋塞制造,1农业,11谷物种植,111稻谷种植,0.222
饮料加工,132饲料加工 ,2530核燃料加工,1321宠物饲料加工,1329其他饲料加工,254生物质燃料加工,0.667
自来水业,4610自来水生产和供应,1农业,11谷物种植,111稻谷种植,112小麦种植,0.4
电子系统工程,2423电子乐器制造,397电子器件制造,3982电子电路制造,4811铁路工程建筑,4812公路工程建筑,0.2
餐饮住宿,H住宿和餐饮业,61住宿业,62餐饮业,6190其他住宿业,629其他餐饮业,0.5
供暖工程收入,4811铁路工程建筑,4812公路工程建筑,483海洋工程建筑,4840工矿工程建筑,4852管道工程建筑,0.2
工程煤,4811铁路工程建筑,4812公路工程建筑,483海洋工程建筑,4840工矿工程建筑,4852管道工程建筑,0.286
公司各间抵销,6911信托公司,6632财务公司服务 ,6920控股公司服务,6634汽车金融公司服务,6635小额贷款公司服务 ,0.25
文化体育业,89体育,R文化、体育和娱乐业,7246体育咨询,891体育组织,899其他体育,0.4
减:税金及附加,3425机床功能部件及附件制造,1农业,11谷物种植,111稻谷种植,112小麦种植,0.125
酒店客房收入,6121经济型连锁酒店,1农业,11谷物种植,111稻谷种植,112小麦种植,0.182
饮料包装制品,2926塑料包装箱及容器制造,152饮料制造,512食品、饮料及烟草制品批发,7292包装服务,1392豆制品制造,0.286
水费收入,,,,,,0
彩印包装业,7292包装服务,49建筑安装业,499其他建筑安装业,3055玻璃包装容器制造,3467包装专用设备制造,0.286
商品零售/批发,5227烟草制品零售,5229其他食品零售,5241文具用品零售,F批发和零售业,5239其他日用品零售,0.364
供暖(汽)收入,,,,,,0
二甲醚,,,,,,0
销售商品房收入,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,111稻谷种植,0.167
餐饮及物业出租,62餐饮业,7020物业管理,7124图书出租,5413出租车客运,629其他餐饮业,0.25
智慧城市建设与运营,5437城市配送,5412城市轨道交通,7850城市公园管理,541城市公共交通运输,3720城市轨道交通设备制造,0.182
阀门管件收入,3443阀门和旋塞制造,344泵、阀门、压缩机及类似机械制造,1农业,11谷物种植,111稻谷种植,0.182
公司内各业务分部间相互抵销,6911信托公司,6632财务公司服务 ,6920控股公司服务,6634汽车金融公司服务,6635小额贷款公司服务 ,0.154
纺织品销售收入,5231纺织品及针织品零售,17纺织业,5131纺织品、针织品及原料批发,1951纺织面料鞋制造,5267机动车充电销售,0.286
计算机及配件销售,3412内燃机及配件制造,391计算机制造,3914工业控制计算机及系统制造,7114计算机及通讯设备经营租赁,3911计算机整机制造,0.429
对外贸易,5181贸易代理,518贸易经纪与代理,9222对外事务管理机构,5189其他贸易经纪与代理,1农业,0.333
本年递延接网收入,,,,,,0
固碱,,,,,,0
服务、其他,6020快递服务,6130民宿服务,6210正餐服务,6220快餐服务,6231茶馆服务,0.4
矿产业,70房地产业,70房地产业,7090其他房地产业,7471能源矿产地质勘查,7472固体矿产地质勘查,0.4
厨柜制造,C制造业,1442乳粉制造,1461味精制造,151酒的制造,1511酒精制造,0.4
宾馆客房,,,,,,0
纸杯生产,441电力生产,2740中成药生产,4419其他电力生产,2522煤制合成气生产,4430热力生产和供应,0.333
商铺出租收入,7124图书出租,5413出租车客运,7130日用品出租,7125音像制品出租,7122体育用品设备出租,0.25
高档彩印包装业,7292包装服务,49建筑安装业,499其他建筑安装业,3055玻璃包装容器制造,3467包装专用设备制造,0.222
餐饮、住宿,H住宿和餐饮业,61住宿业,62餐饮业,6190其他住宿业,629其他餐饮业,0.444
追溯递延接网收入,,,,,,0
甲醇及其下游产品,25林产品采集,136水产品加工,5115林业产品批发,5117渔业产品批发,5174五金产品批发,0.182
商品房出租,7124图书出租,5413出租车客运,7130日用品出租,7125音像制品出租,7122体育用品设备出租,0.286
体育文化业,89体育,R文化、体育和娱乐业,7246体育咨询,891体育组织,899其他体育,0.4
宾馆服务,6231茶馆服务,6232咖啡馆服务,6020快递服务,6130民宿服务,6210正餐服务,0.667
超市零售,52零售业,521综合零售,5211百货零售,5221粮油零售,5232服装零售,0.4
胶罐生产,441电力生产,2740中成药生产,4419其他电力生产,2522煤制合成气生产,4430热力生产和供应,0.333
开发产品出租收入,7130日用品出租,7125音像制品出租,712文体设备和用品出租,7129其他文体设备和用品出租,651软件开发,0.364
工业-医药制造,27医药制造业 ,263农药制造,2631化学农药制造,2643工业颜料制造,3491工业机器人制造,0.6
商品批发.零售,5115林业产品批发,5117渔业产品批发,5128烟草制品批发,5129其他食品批发,5141文具用品批发,0.364
房屋开发,651软件开发,47房屋建筑业,4710住宅房屋建筑,6511基础软件开发,6512支撑软件开发,0.333
纯碱、小苏打等,,,,,,0
房地产销售和出租,70房地产业,70房地产业,7090其他房地产业,7010房地产开发经营,7030房地产中介服务,0.4
体育,89体育,7246体育咨询,891体育组织,899其他体育,9054体育经纪人,1
自来水工程收入,4610自来水生产和供应,4811铁路工程建筑,4812公路工程建筑,483海洋工程建筑,4840工矿工程建筑,0.308
投资服务业,6760资本投资服务,72商务服务业,80居民服务业,82其他服务业,729其他商务服务业,0.667
金德阀门管件,3443阀门和旋塞制造,344泵、阀门、压缩机及类似机械制造,1农业,11谷物种植,111稻谷种植,0.182
PET原料生产,2523煤制液体燃料生产,2541生物质液体燃料生产,3534饲料生产专用设备制造,3515建筑材料生产专用机械制造,441电力生产,0.308
商业-服务,6621商业银行服务,7222商业综合体管理服务,6020快递服务,6130民宿服务,6210正餐服务,0.444
商品批发/零售,5115林业产品批发,5117渔业产品批发,5128烟草制品批发,5129其他食品批发,5141文具用品批发,0.364
供暖及供暖接网工程,4821水源及供水设施工程建筑,4811铁路工程建筑,4812公路工程建筑,483海洋工程建筑,4840工矿工程建筑,0.222
纯碱小苏打,,,,,,0
商品房出租收入及其他,7124图书出租,5413出租车客运,7130日用品出租,7125音像制品出租,7122体育用品设备出租,0.2
酒店餐饮及物业出租,62餐饮业,7020物业管理,7124图书出租,5413出租车客运,629其他餐饮业,0.2
房地产开发[注],7010房地产开发经营,70房地产业,70房地产业,7090其他房地产业,7030房地产中介服务,0.615
商品零售业务,5227烟草制品零售,5229其他食品零售,5241文具用品零售,5239其他日用品零售,5253动物用药品零售,0.5
自来水生产及销售,4610自来水生产和供应,441电力生产,2740中成药生产,D电力、热力、燃气及水生产和供应业,4419其他电力生产,0.571
塑料饮料包装行业,2926塑料包装箱及容器制造,152饮料制造,7292包装服务,1953塑料鞋制造,292塑料制品业,0.375
商业--医药批发,5151西药批发,5152中药批发,5167农药批发,515医药及医疗器材批发,51批发业,0.4
零售、服装业,5232服装零售,523纺织、服装及日用品专门零售,18纺织服装、服饰业,52零售业,513纺织、服装及家庭用品批发,0.5
印刷业务,231印刷,2311书、报刊印刷,3542印刷专用设备制造,2319包装装潢及其他印刷,2320装订及印刷相关服务,1
化工产品销售收入,5169其他化工产品批发,516矿产品、建材及化工产品批发,2671炸药及火工产品制造,25林产品采集,136水产品加工,0.429
旅店服务业务,6020快递服务,6130民宿服务,6210正餐服务,6220快餐服务,6231茶馆服务,0.333
投资及服务,6760资本投资服务,6020快递服务,6130民宿服务,6210正餐服务,6220快餐服务,0.444
商品房出租收入,7124图书出租,5413出租车客运,7130日用品出租,7125音像制品出租,7122体育用品设备出租,0.222
